2025-02-09 00:23:14,739 - INFO - Attempting database connection...
2025-02-09 00:23:14,739 - INFO - Database configuration:
2025-02-09 00:23:14,740 - INFO -   Database Name: fil_dict_db
2025-02-09 00:23:14,740 - INFO -   User: postgres
2025-02-09 00:23:14,740 - INFO -   Host: localhost
2025-02-09 00:23:14,740 - INFO -   Password: ********
2025-02-09 00:23:14,885 - INFO - Successfully established database connection
2025-02-09 00:23:14,886 - INFO - Setting up PostgreSQL extensions...
2025-02-09 00:23:14,886 - INFO - Checking extension: pg_trgm
2025-02-09 00:23:14,889 - INFO - Extension already installed: pg_trgm
2025-02-09 00:23:14,890 - INFO - Checking extension: unaccent
2025-02-09 00:23:14,890 - INFO - Extension already installed: unaccent
2025-02-09 00:23:14,890 - INFO - Checking extension: fuzzystrmatch
2025-02-09 00:23:14,891 - INFO - Extension already installed: fuzzystrmatch
2025-02-09 00:23:14,891 - INFO - Extensions setup completed
2025-02-09 00:23:14,891 - INFO - Starting table creation/update process.
2025-02-09 00:23:14,901 - INFO - Tables created or updated successfully.
2025-02-09 00:23:14,904 - INFO - Processing Tagalog words from: data/tagalog-words.json
2025-02-09 00:24:26,224 - INFO - Processing root words from: data/root_words_with_associated_words_cleaned.json
2025-02-09 00:24:55,940 - INFO - Processing KWF dictionary from: data/kwf_dictionary.json
2025-02-09 00:26:16,537 - INFO - Starting to process Kaikki file: data/kaikki.jsonl
2025-02-09 00:26:16,559 - WARNING - Invalid Baybayin data for word 'aam', clearing baybayin fields.
2025-02-09 00:26:16,577 - WARNING - Invalid Baybayin data for word 'lente', clearing baybayin fields.
2025-02-09 00:26:16,587 - WARNING - Invalid Baybayin data for word 'abnormal', clearing baybayin fields.
2025-02-09 00:26:16,589 - WARNING - Invalid Baybayin data for word 'abdominal', clearing baybayin fields.
2025-02-09 00:26:16,592 - WARNING - Invalid Baybayin data for word 'June', clearing baybayin fields.
2025-02-09 00:26:16,594 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-09 00:26:16,610 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-09 00:26:16,613 - WARNING - Invalid Baybayin data for word 'abdomen', clearing baybayin fields.
2025-02-09 00:26:16,615 - WARNING - Invalid Baybayin data for word 'absent', clearing baybayin fields.
2025-02-09 00:26:16,617 - WARNING - Invalid Baybayin data for word 'Esperanto', clearing baybayin fields.
2025-02-09 00:26:16,619 - WARNING - Invalid Baybayin data for word 'April', clearing baybayin fields.
2025-02-09 00:26:16,621 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-09 00:26:16,639 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-09 00:26:16,654 - WARNING - Invalid Baybayin data for word 'menos', clearing baybayin fields.
2025-02-09 00:26:16,657 - WARNING - Invalid Baybayin data for word 'January', clearing baybayin fields.
2025-02-09 00:26:16,661 - WARNING - Invalid Baybayin data for word 'abate', clearing baybayin fields.
2025-02-09 00:26:16,665 - WARNING - Invalid Baybayin data for word 'peso', clearing baybayin fields.
2025-02-09 00:26:16,667 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-09 00:26:16,759 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-09 00:26:16,769 - WARNING - Invalid Baybayin data for word 'are', clearing baybayin fields.
2025-02-09 00:26:16,773 - WARNING - Invalid Baybayin data for word 'robot', clearing baybayin fields.
2025-02-09 00:26:16,779 - WARNING - Invalid Baybayin data for word 'Burundi', clearing baybayin fields.
2025-02-09 00:26:16,783 - WARNING - Invalid Baybayin data for word 'Gabon', clearing baybayin fields.
2025-02-09 00:26:16,785 - WARNING - Invalid Baybayin data for word 'Kenya', clearing baybayin fields.
2025-02-09 00:26:16,787 - WARNING - Invalid Baybayin data for word 'f', clearing baybayin fields.
2025-02-09 00:26:16,790 - WARNING - Invalid Baybayin data for word 'f', clearing baybayin fields.
2025-02-09 00:26:16,793 - WARNING - Invalid Baybayin data for word 'a-', clearing baybayin fields.
2025-02-09 00:26:16,795 - WARNING - Invalid Baybayin data for word 'Brasil', clearing baybayin fields.
2025-02-09 00:26:16,800 - WARNING - Invalid Baybayin data for word 'Botswana', clearing baybayin fields.
2025-02-09 00:26:16,804 - WARNING - Invalid Baybayin data for word 'also', clearing baybayin fields.
2025-02-09 00:26:16,806 - WARNING - Invalid Baybayin data for word 'van', clearing baybayin fields.
2025-02-09 00:26:16,808 - WARNING - Invalid Baybayin data for word 'mars', clearing baybayin fields.
2025-02-09 00:26:16,811 - WARNING - Invalid Baybayin data for word 'Oman', clearing baybayin fields.
