2025-04-18 03:35:39,552 - INFO - Starting table creation/update process.
2025-04-18 03:35:39,553 - INFO - Creating required PostgreSQL extensions...
2025-04-18 03:35:39,966 - INFO - Tables created or updated successfully.
2025-04-18 03:35:39,970 - INFO - Starting processing for Root Words from ..\data\root_words_with_associated_words_cleaned.json
2025-04-18 03:35:39,971 - INFO - Processing Root Words (tagalog.com cleaned) file: ..\data\root_words_with_associated_words_cleaned.json
2025-04-18 03:35:39,971 - INFO - Using standardized source identifier: 'tagalog.com'
2025-04-18 03:35:39,989 - INFO - Found 2238 root word entries in dictionary format in ..\data\root_words_with_associated_words_cleaned.json
2025-04-18 03:35:40,036 - WARNING - Skipping self-relation for word ID 6, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,047 - WARNING - Skipping self-relation for word ID 12, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,060 - WARNING - Skipping self-relation for word ID 22, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,096 - WARNING - Skipping self-relation for word ID 45, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,119 - WARNING - Skipping self-relation for word ID 59, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,129 - WARNING - Skipping self-relation for word ID 65, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,156 - WARNING - Skipping self-relation for word ID 84, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,197 - WARNING - Skipping self-relation for word ID 103, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,226 - WARNING - Skipping self-relation for word ID 114, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,304 - WARNING - Skipping self-relation for word ID 144, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,360 - WARNING - Skipping self-relation for word ID 169, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,446 - WARNING - Skipping self-relation for word ID 206, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,449 - WARNING - Skipping self-relation for word ID 206, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,467 - WARNING - Skipping self-relation for word ID 215, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,485 - WARNING - Skipping self-relation for word ID 223, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,550 - WARNING - Skipping self-relation for word ID 255, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,629 - WARNING - Skipping self-relation for word ID 292, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,639 - WARNING - Skipping self-relation for word ID 297, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,685 - WARNING - Skipping self-relation for word ID 324, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,714 - WARNING - Skipping self-relation for word ID 337, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,790 - WARNING - Skipping self-relation for word ID 374, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,837 - WARNING - Skipping self-relation for word ID 405, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,858 - WARNING - Skipping self-relation for word ID 416, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,906 - WARNING - Skipping self-relation for word ID 446, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:40,944 - WARNING - Skipping self-relation for word ID 474, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,005 - WARNING - Skipping self-relation for word ID 515, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,121 - WARNING - Skipping self-relation for word ID 600, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,132 - WARNING - Skipping self-relation for word ID 608, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,142 - WARNING - Skipping self-relation for word ID 614, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,174 - WARNING - Skipping self-relation for word ID 634, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,218 - WARNING - Skipping self-relation for word ID 666, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,237 - WARNING - Skipping self-relation for word ID 679, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,402 - WARNING - Skipping self-relation for word ID 783, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,443 - WARNING - Skipping self-relation for word ID 812, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,506 - WARNING - Skipping self-relation for word ID 857, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,538 - WARNING - Skipping self-relation for word ID 882, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,550 - WARNING - Skipping self-relation for word ID 889, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,681 - WARNING - Skipping self-relation for word ID 995, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,718 - WARNING - Skipping self-relation for word ID 1021, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,763 - WARNING - Skipping self-relation for word ID 1065, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,771 - WARNING - Skipping self-relation for word ID 1070, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,841 - WARNING - Skipping self-relation for word ID 1124, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,852 - WARNING - Skipping self-relation for word ID 1133, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,895 - WARNING - Skipping self-relation for word ID 1172, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,948 - WARNING - Skipping self-relation for word ID 1207, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:41,986 - WARNING - Skipping self-relation for word ID 1234, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,039 - WARNING - Skipping self-relation for word ID 1271, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,041 - WARNING - Skipping self-relation for word ID 1271, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,137 - WARNING - Skipping self-relation for word ID 1338, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,197 - WARNING - Skipping self-relation for word ID 1375, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,236 - WARNING - Skipping self-relation for word ID 1398, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,300 - WARNING - Skipping self-relation for word ID 1436, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,357 - WARNING - Skipping self-relation for word ID 1470, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,407 - WARNING - Skipping self-relation for word ID 1496, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,444 - WARNING - Skipping self-relation for word ID 1520, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,456 - WARNING - Skipping self-relation for word ID 1528, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,490 - WARNING - Skipping self-relation for word ID 1557, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,514 - WARNING - Skipping self-relation for word ID 1578, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,581 - WARNING - Skipping self-relation for word ID 1631, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,583 - WARNING - Skipping self-relation for word ID 1631, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,619 - WARNING - Skipping self-relation for word ID 1653, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,673 - WARNING - Skipping self-relation for word ID 1684, type 'derived_from', source 'tagalog.com'.
2025-04-18 03:35:42,708 - WARNING - Skipping self-relation for word ID 1711, type 'derived_from', source 'tagalog.com'.
